bias_strength,model_name,roc_auc,eo_gap_tpr,eo_gap_fpr,dp_ratio_fixed_2pct,dp_diff,dp_ratio
0.0,GLM,0.929207027276751,0.011899317274423615,0.031195101139386616,0.8320794290954436,-0.03272468737103895,0.9568886263087341
0.0,NN,0.9259189184549427,0.014082712190274238,0.016262611052552306,0.7786934739226831,-0.03046527164485513,0.9584747449494313
0.0,ADV_NN,0.9271685358289524,0.011508249841453377,0.012022955043584471,0.6607521616083929,-0.02731944329775271,0.9631015214983729
0.25,GLM,0.9300224285534461,0.011584503963985693,0.024307294028597715,0.8725409672660579,-0.014676913948622361,0.9807906103707736
0.25,NN,0.9270379718702916,0.009095164143683832,0.01271708924047138,0.8725409672660579,-0.009769544252954065,0.9868157360947387
0.25,ADV_NN,0.9284020856715715,0.006782266136629134,0.014139379751094472,0.8542359120087282,-0.008447777117074784,0.9887027422951353
0.5,GLM,0.9299947815654687,0.01921436796831999,0.009559264544683643,0.798714833680731,-0.008478497214251202,0.9891323327623435
0.5,NN,0.9277884430186469,0.024195953396715875,0.009405182933134804,0.8697906809493167,-0.012039568509767617,0.9839523633007469
0.5,ADV_NN,0.9279568080516684,0.02097986091151427,0.01696552294678494,0.8468778066061271,-0.007853194743886127,0.9897562761036665
1.0,GLM,0.9353109476666286,0.019354141589186247,0.049128706494713126,0.8732357282482945,-0.006096899411607959,0.9924370419704837
1.0,NN,0.9330256089534749,0.02886236816222998,0.03993934466903515,0.8188943519009504,-0.010612423416018313,0.9863739526095077
1.0,ADV_NN,0.9331737944441205,0.025565102229433867,0.040514752073314286,0.9680667575603266,-0.008282418867524122,0.9893947247991353
2.0,GLM,0.9287644782378623,0.034340302346665075,0.07680000000000003,1.4175963826045839,0.019557637094054225,1.0233304459657657
2.0,NN,0.9255396413277296,0.041661893358920454,0.05927777777777776,1.1189938499468535,0.020525487828361166,1.025306476420956
2.0,ADV_NN,0.9273643195472484,0.03839953923160466,0.059437037037037066,1.2735154402732314,0.022478557783775832,1.0275394520534966
