bias_strength,model_name,roc_auc,eo_gap_tpr,eo_gap_fpr,dp_ratio_fixed_2pct,dp_diff,dp_ratio
0.0,GLM,0.761078658087319,0.058600123321128295,0.1617473395359632,2.9755950937068247,0.09251993667202096,1.1075504357007262
0.0,NN,0.791935304905075,0.02760732956955536,0.11698703727721393,2.5161619860835374,0.05386263106328426,1.0572332928103685
0.0,ADV_NN,0.8104354435947482,0.06428322087565042,0.18686389482378474,2.7817978555820924,0.11564822839487565,1.1433180370131906
0.25,GLM,0.7592239838753555,0.05999385154412484,0.15952943291216437,3.923048257872182,0.09312092062644628,1.1082191794557652
0.25,NN,0.7985231799946487,0.046825830320218365,0.1707213572064047,3.4106501180684683,0.08483099242727032,1.0934650206989103
0.25,ADV_NN,0.8122669583922799,0.06431695524710279,0.2186466844599776,2.925787392319627,0.11949684866712973,1.142167320168748
0.5,GLM,0.7580489726629616,0.06202606874888894,0.1565060490430975,4.37139663020043,0.09383334047921277,1.1091374663051967
0.5,NN,0.8018772395216012,0.04220956026220113,0.16041454773817898,2.9755950937068247,0.0801144464595972,1.0883262034405978
0.5,ADV_NN,0.8038535984909595,0.05866031717349385,0.2057533601370677,2.601600423641552,0.11120360194805079,1.1320954493098003
1.0,GLM,0.7568794044465863,0.06708417107022446,0.15510499646181608,5.833402192140374,0.09708303427938136,1.1126837534042102
1.0,NN,0.7965276104511074,0.03791344405638508,0.16488449137752537,3.923048257872182,0.07672218904439765,1.083731278493186
1.0,ADV_NN,0.813532330453609,0.08140309171114224,0.2623239156205701,2.3933891052228606,0.14463802182232144,1.1791647918499177
2.0,GLM,0.7551537612578857,0.07487135470782214,0.1748903845585006,7.917424665887495,0.10655083793291253,1.123587819456134
2.0,NN,0.7703847938486603,0.008407250719128845,0.01490132903745467,3.0263515132156833,0.010288075403143804,1.010397956443691
2.0,ADV_NN,0.8118089996488378,0.08408054477196436,0.2960293839919361,2.925787392319627,0.15320524554458836,1.189165016563044
